name,description,country,sector,logo,websummit,linkedin,facebook,crunchbase,website,twitter,instagram,angellist
4Dage,Leading innovator in applied Artificial Intelligence for machine/computer vision and 3D reconstruction solutions.,China,AI & machine learning,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/f42b4d312760f5a42ac4456fea115edcccf5a6ac.png?1561365875,['2019'],https://www.linkedin.com/company/4dage,https://www.facebook.com/4DAGE,https://www.crunchbase.com/organization/4dage,http://www.4dage.com/en,,,
4GIFTERS,"Platform and White label plug-in solution, allowing users to Gift/Group Gift any item in a simple and engaging way from any e-commerce",Italy,eCommerce & retail,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/659594b93c6b286888d8c8bd02fadf1d5600a3da.png?1535462673,['2019'],https://www.linkedin.com/company/4gifters,https://www.facebook.com/4gifters/?fref=ts,https://www.crunchbase.com/organization/4gifters,http://www.4gifters.com/,https://twitter.com/4gifters,https://instagram.com/4gifters,https://angel.co/4gifters
Adludio,Defining the next generation of mobile marketing solutions. We put creative back at the heart of mobile advertising.,United Kingdom,"Advertising, content & marketing",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/c91cd898407fd857b6f5f1fcc1a57f57016337ec.png?1569589858,['2019'],https://www.linkedin.com/company/adludio/about/?viewAsMember=true,,,https://www.adludio.com/,https://twitter.com/adludio,,
ADVOCADO,"We connect multi-screen advertising when it matters most; across Broadcast, Facebook, Google, Amazon, Instagram, OTT, CTV,…",United States,"Advertising, content & marketing",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/0721aa37f3346d5602316f24b371df91eb0fc168.png?1569250856,['2019'],https://www.linkedin.com/company/myadvocado,https://www.facebook.com/myadvocado,https://www.crunchbase.com/organization/advocado-7952,https://myadvocado.com/,https://twitter.com/myadvocado,https://instagram.com/myadvocado,https://angel.co/myadvocado
"ALE CO., Ltd","The world-first man-made meteor shower company, we deliver space entertainment, atmosphere data for climate change, mitigate space debris.",Japan,Big data & analytics,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/541bf0b57fd7a3281e05943a9d75bae467892c3e.png?1571115092,['2019'],,,,http://star-ale.com/en/?ja,https://twitter.com/ale_starale?lang=en,,
Arbe,"Arbe is leading a radar revolution, delivering true ADAS safety while jumpstarting the transition to a fully autonomous vehicle…",Israel,Autotech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/3474e0650f7b1a3e8de3f169c9de72efc38912ad.png?1569317738,['2019'],https://www.linkedin.com/company/arbe-robotics,https://www.facebook.com/arberobotics,https://www.crunchbase.com/organization/arbe-robotics,https://arberobotics.com/,https://twitter.com/Arbe_Robotics,,
Armaks Group,"Platform solutions for Smart Cities, e-Commerce and Industry 4.0",Russia,"Politics, government & international trade",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/6927bbe6362915bb475aa72d79a660f594c62911.png?1538307360,['2019'],https://www.linkedin.com/company/armaksgroup,,https://www.crunchbase.com/organization/armaks-group,http://www.armaksgroup.com/,https://twitter.com/ArmaksG,,https://angel.co/armaks-group
Astroscale,Astroscale is the first private company with a mission to secure spaceflight safety and orbital sustainability.,Japan,"Environment, energy & clean tech",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/21943b019f5c7d5b5430f763ad97c6dd246cb204.png?1571108091,['2019'],https://www.linkedin.com/company/astroscale,,https://www.crunchbase.com/organization/astroscale,http://astroscale.com/,https://twitter.com/astroscale_,https://instagram.com/astroscale,
Axelspace,Axelspace is developing a micro-satellite constellation to capture the entire globe everyday and create the Earth observation infrastructure,Japan,Big data & analytics,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/5a6a5b31391bd15f9c857a5576f3d8b168f1dffa.png?1557717537,['2019'],,,,https://www.axelspace.com/en/,,,
Azoomee,"Awesome begins with Azoomee. Everything from action-packed games to inspiring TV shows. We keep it safe, so kids can run wild.",United Kingdom,Entertainment & media,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/e4d2ff354abd32f81703a0f2417e3bb5d2ba9d3c.png?1570724074,['2019'],https://www.linkedin.com/company/azoomee,https://www.facebook.com/azoomeekids,https://www.crunchbase.com/organization/azoomee,http://www.azoomee.com/,https://twitter.com/azoomeekids,https://instagram.com/azoomeekids,
BEEsharing P.A.L.S. GmbH,BEEsharing is the network for farmers & beekeepers. We contribute to ensure biodiversity and food production with our…,Germany,"Environment, energy & clean tech",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/7322aebaff9984a11d7801719a8c4f016f9fd7e9.png?1565597360,['2019'],https://www.linkedin.com/company/beesharing,https://www.facebook.com/beesharingeV/,https://www.crunchbase.com/organization/beesharing,https://www.beesharing.eu/en/,https://twitter.com/beesharing,,
BestDoctor,"First Russian customer centric health insurance company, that guarantees personalized customer support along the entire journey.",Russia,Medtech & pharma,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/177a70a18561ec973cbf6cae6f7bc5babc8166b0.png?1571413762,['2019'],https://www.linkedin.com/company/bestdoctor,https://www.facebook.com/bestdoctor.ru,https://www.crunchbase.com/organization/bestdoctor-ru,https://bestdoctor.ru/,,,
Beyond Pricing,Automatic dynamic pricing for short-term rentals,United States,Travel & hospitality,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/a36d43247f71913a8bbf78e42d7acf3dd7ee13ba.png?1567498360,['2019'],https://www.linkedin.com/company/beyond-pricing,https://www.facebook.com/beyondpricing,https://www.crunchbase.com/organization/beyond-pricing,https://beyondpricing.com/,https://twitter.com/beyondpricing,,https://angel.co/company/beyondpricing
Billon,"HIGH-PERFORMANCE ENTERPRISE DLT SYSTEM Unifying national currency transactions, documents and identity management on a…",United Kingdom,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/3cdf6e6758a7d14169729d4382994f580b5c10f3.png?1565701902,['2019'],https://www.linkedin.com/company/billon,https://www.facebook.com/billongroup,https://www.crunchbase.com/organization/billon-group,https://www.billongroup.com/,https://twitter.com/BillonGroup,,https://angel.co/company/billon
BIOSOLVIT,We are a Biotech Company applied to new materials development. We have created the most efficient oil or derivatives absorber in the…,Brazil,"Environment, energy & clean tech",https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/0a078d5531c0e3e08067dafb5d2d9351d34b0948.png?1538535076,['2019'],https://www.linkedin.com/company/biosolvit,,,http://www.biosolvit.com/,,,
Bitwala.com,Bitwala is the world's first regulated blockchain bank account with a Bitcoin wallet and trading directly integrated.,Germany,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/8f5c84678012f6ae832033cf4d8fdd1c29ce6972.png?1564999188,['2019'],https://www.linkedin.com/company/bitwala,https://www.facebook.com/bitwala,https://www.crunchbase.com/organization/bitwala,https://www.bitwala.com/,https://twitter.com/bitwala,,https://angel.co/bitwala
Bnext,First mobile-first neo-bank where customers can choose from a variety of different high-quality financial and insurance products,Spain,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/7396b2d18e7d042771583c6d5fbc31e07498e748.png?1571140351,['2019'],,,,https://bnext.es/,https://twitter.com/yourbnext,,
BOOM IMAGE STUDIO,"BOOM is a tech company providing on-demand photography services on a global scale, driven by AI and leading talented…",Italy,AI & machine learning,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/834f313eaacedfe7a1f41d2758799ed1413d7469.png?1568971682,['2019'],https://www.linkedin.com/company/boom-imagestudio,https://www.facebook.com/boomimagestudio,https://www.crunchbase.com/organization/boom-image-studio,https://boomimagestudio.com/,,https://instagram.com/boomimagestudio,https://angel.co/company/boom-imagestudio
Boostmi Technologies Inc,Evolving roadside assistance through an on-demand app and innovative solutions built for the future driven by connected vehicles.,Canada,Autotech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/e7e7358ecebd1decdb61338b3f1ea183c5ce64b4.png?1537806499,['2019'],https://www.linkedin.com/company/boostmi-technologies,https://www.facebook.com/boostmitech/?ref=aymt_homepage_panel,,https://boostmi.com/,https://twitter.com/boostmitech,,
BYHOURS,"First international online booking platform and App that allows to book microstays in more than 3000 hotels wordwide for 3, 6 and 12…",Spain,Travel & hospitality,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/bafc073bf62e3de0a79deedefd55b6e96f02a61a.png?1569918108,['2019'],https://www.linkedin.com/company/byhours-com,https://www.facebook.com/byhours,https://www.crunchbase.com/organization/byhours-com,https://www.byhours.com/en.html,https://twitter.com/BYHOURS,https://instagram.com/byhours,https://angel.co/company/byhours-com
CA ON WEB PRIVATE LIMITED,A Trusted Partner to start Business In INDIA. Tax & Legal compliance platform in Cross Border consultancy to help you start in INDIA.,India,Legal & consultancy,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/2e5665f85f24a2550ea75fe64f97d006ab6d30f2.png?1566375492,['2019'],https://www.linkedin.com/company/caonweb,https://www.facebook.com/caonwebonline,,https://www.caonweb.com/,https://twitter.com/caonwebonline,,https://angel.co/caonweb-private-limited
Capdesk,"We help growth companies save time, cut legal and accounting fees, and track equity and employee shares by digitising cap tables and…",United Kingdom,Fintech,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/a81acbbec699c1c57de279aa770a95e6c65cdb9f.png?1565947359,['2019'],https://www.linkedin.com/company/capdesk,https://www.facebook.com/capdesk,https://www.crunchbase.com/organization/capdesk-bring-shares-to-life,https://www.capdesk.com/,https://twitter.com/capdesk,,https://angel.co/company/capdesk
Chili Piper,"Instant Scheduling & Engagement for Web Forms, Email & Events - used by Facebook, Twilio & thousands more. Help your Buyers…",United States,Enterprise software solutions,https://s3-eu-west-1.amazonaws.com/avenger.cilabs.net/production/logos/medium/9f00cdebdafa99d94f144af4ec50b1d9d6aad097.png?1523990456,['2019'],https://www.linkedin.com/company/2687110,,https://www.crunchbase.com/organization/chili-piper,https://www.chilipiper.com/,https://twitter.com/chilipiperteam,,
